timestamp,frame,track_id,class,confidence,x1,y1,x2,y2
2026-04-03T14:54:02.437,1,3,cat,0.000,62,-231,838,478
2026-04-03T14:54:02.845,2,1,cat,0.839,132,106,598,478
2026-04-03T14:54:02.846,2,3,cat,0.000,58,-243,846,478
2026-04-03T14:54:03.347,1,1,person,0.476,115,107,578,478
2026-04-03T14:54:03.347,1,3,cat,0.622,126,106,546,478
2026-04-03T14:54:03.831,1,1,cat,0.498,112,111,569,479
2026-04-03T14:54:03.831,1,3,cat,0.000,126,111,540,479
2026-04-03T14:54:04.296,2,1,cat,0.753,114,110,573,479
2026-04-03T14:54:04.296,2,3,cat,0.000,125,116,534,479
2026-04-03T14:54:04.788,1,1,cat,0.497,97,95,577,479
2026-04-03T14:54:04.788,1,3,cat,0.000,125,121,528,479
2026-04-03T14:54:05.324,2,1,person,0.475,75,76,579,478
2026-04-03T14:54:05.324,2,3,cat,0.469,89,68,568,478
2026-04-03T14:54:05.769,1,1,cat,0.496,81,77,586,478
2026-04-03T14:54:05.769,1,3,cat,0.000,84,66,567,477
2026-04-03T14:54:06.191,2,1,cat,0.707,69,78,574,478
2026-04-03T14:54:06.191,2,3,cat,0.000,80,63,566,477
2026-04-03T14:54:06.795,1,1,cat,0.777,64,78,567,478
2026-04-03T14:54:06.795,1,3,cat,0.000,76,60,565,477
2026-04-03T14:54:07.368,1,1,cat,0.798,59,79,560,478
2026-04-03T14:54:07.368,1,3,cat,0.000,72,57,564,477
2026-04-03T14:54:07.883,1,1,cat,0.819,67,77,570,478
2026-04-03T14:54:07.883,1,3,cat,0.000,68,54,563,477
2026-04-03T14:54:08.280,1,1,cat,0.680,73,75,576,478
2026-04-03T14:54:08.281,1,3,cat,0.000,64,52,562,477
2026-04-03T14:54:08.654,2,1,cat,0.856,72,76,573,478
2026-04-03T14:54:08.654,2,3,cat,0.000,60,49,561,477
2026-04-03T14:54:09.006,1,1,cat,0.781,69,75,571,478
2026-04-03T14:54:09.006,1,3,cat,0.000,55,46,560,477
2026-04-03T14:54:09.371,2,1,person,0.755,70,74,570,478
2026-04-03T14:54:09.371,2,3,cat,0.000,51,43,559,476
2026-04-03T14:54:09.784,1,1,person,0.581,78,76,574,478
2026-04-03T14:54:09.784,1,3,cat,0.500,96,81,567,478
2026-04-03T14:54:10.141,2,1,cat,0.682,74,68,579,478
2026-04-03T14:54:10.141,2,3,cat,0.000,96,82,566,478
2026-04-03T14:54:10.497,1,1,cat,0.785,71,65,578,478
2026-04-03T14:54:10.499,1,3,cat,0.000,96,82,566,479
